step,temperature,beta,gamma_base,gamma_pulse,gamma
427,0.91280913,1.0955193,0.7868934,0.0,0.7868934
428,0.9122289,1.0962161,0.78639317,0.0,0.78639317
429,0.91164863,1.0969138,0.78589296,0.0,0.78589296
430,0.9110684,1.0976125,0.7853927,0.0,0.7853927
431,0.9104881,1.0983119,0.78489244,0.0,0.78489244
432,0.9099078,1.0990124,0.7843922,0.0,0.7843922
433,0.9093276,1.0997137,0.7838919,0.0,0.7838919
434,0.9087473,1.100416,0.7833917,0.0,0.7833917
435,0.90816706,1.101119,0.78289145,0.0,0.78289145
436,0.9075868,1.101823,0.7823912,0.0,0.7823912
437,0.90700656,1.1025279,0.7818909,0.0,0.7818909
438,0.9064263,1.1032337,0.78139067,0.0,0.78139067
439,0.905846,1.1039404,0.78089046,0.0,0.78089046
440,0.9052658,1.1046479,0.7803902,0.0,0.7803902
441,0.9046855,1.1053565,0.77988994,0.0,0.77988994
442,0.90410525,1.1060659,0.7793897,0.0,0.7793897
443,0.903525,1.1067762,0.7788894,0.0,0.7788894
444,0.90294474,1.1074874,0.7783892,0.0,0.7783892
445,0.9023645,1.1081996,0.77788895,0.0,0.77788895
446,0.9017842,1.1089128,0.7773887,0.0,0.7773887
447,0.901204,1.1096267,0.77688843,0.0,0.77688843
448,0.9006237,1.1103417,0.77638817,0.0,0.77638817
449,0.9000434,1.1110575,0.77588797,0.0,0.77588797
450,0.8994632,1.1117742,0.7753877,0.0,0.7753877
451,0.8988829,1.112492,0.77488744,0.0,0.77488744
452,0.8983027,1.1132106,0.7743872,0.0,0.7743872
453,0.89772236,1.1139301,0.7738869,0.0,0.7738869
454,0.8971422,1.1146505,0.7733867,0.0,0.7733867
455,0.89656186,1.1153721,0.77288646,0.0,0.77288646
456,0.8959816,1.1160944,0.7723862,0.0,0.7723862
457,0.89540136,1.1168176,0.77188593,0.0,0.77188593
458,0.89482105,1.1175419,0.77138567,0.0,0.77138567
459,0.89424086,1.1182669,0.77088547,0.0,0.77088547
460,0.89366055,1.1189932,0.7703852,0.0,0.7703852
461,0.89308035,1.1197201,0.76988494,0.0,0.76988494
462,0.89250004,1.1204481,0.7693847,0.0,0.7693847
463,0.8919198,1.1211771,0.7688844,0.0,0.7688844
464,0.89133954,1.1219069,0.7683842,0.0,0.7683842
465,0.8907592,1.1226379,0.7678839,0.0,0.7678839
466,0.89017904,1.1233696,0.7673837,0.0,0.7673837
467,0.8895987,1.1241024,0.76688343,0.0,0.76688343
